,Met Needs Nurse Notes,Met Needs Carer Notes,Unmet Needs Nurse Notes,Unmet Needs Carer Notes
offered,0.2913948310164125,0.23156865581259833,0.2419492771623859,0.266382952377426
morning,0.27763310282233317,,0.27534420415764094,
discussed,0.25989268712274627,0.0023156865581259833,0.26394466599533006,0.0026907368927012723
pain,0.25989268712274627,0.004631373116251967,0.06912836490353882,0.021525895141610178
signs,0.24986979254009983,,0.2563549486984933,
vital,0.24590360535692368,,0.24211300710413255,
stable,0.23797123099057127,,0.19938718232105032,
controlled,0.1961936157271954,,,
importance,0.17981433939518068,,0.15373438862665284,0.003291157478590796
activities,0.16801143409955316,0.0972588354412913,0.10055034895060194,0.2448570572358158
assessed,0.1586474873270475,,0.2800915180224279,
environment,0.14701000483710902,0.004631373116251967,0.03770638085647573,0.04036105339051909
maintaining,0.13881655141116658,,0.06171508024222986,
medication,0.13881655141116658,,0.0379785109182953,
monitored,0.138071724892728,,0.22291486350864664,0.01645578739295398
well,0.1348607545463855,,0.007686719431332642,0.009873472435772388
opportunities,0.1286337542324704,0.04631373116251966,0.0031421984047063107,0.05650547474672672
maintained,0.12576513828666372,,,
support,0.11550786094344279,0.013894119348755899,0.08483935692707038,0.0053814737854025445
sense,0.11550786094344279,0.013894119348755899,0.03456418245176941,0.034979579605116544
comfortable,0.11550786094344279,0.13199413381318104,0.006284396809412621,0.0484332640686229
respectful,0.11067332169226406,,,
free,0.10564271616079751,,,
appeared,0.10500714631222072,0.05094510427877163,0.1225457377835461,0.0026907368927012723
shift,0.10061211062933098,,,
need,0.10061211062933098,,,
emotional,0.09713161033880417,0.016209805906881883,0.07541276171295146,0.11301094949345344
calm,0.09713161033880417,0.02084117902313385,0.009426595214118932,0.04036105339051909
comfort,0.09450643168099865,0.060207850511275564,0.028279785642356794,0.05381473785402545
level,0.08027425865856279,,0.03074687772533057,0.003291157478590796
provided,0.07535755648034757,,0.023736569323934562,
feeling,0.07087982376074899,0.009262746232503933,0.12883013459295872,0.013453684463506362
night,0.0674251821139952,,0.04272582478308221,
experiencing,0.0674251821139952,,0.1519140436731812,
promote,0.06562946644513795,0.009262746232503933,0.018853190428237864,0.029598105819713998
ensured,0.06300428778733243,0.136625506929433,0.025137587237650486,0.051124000961324176
reported,0.06037910912952692,0.0023156865581259833,0.13197233299766503,0.008072210678103818
desired,0.05949280774764282,0.02449019012039046,,
factors,0.05949280774764282,,0.052220452512656036,
contributing,0.05949280774764282,,0.06171508024222986,
techniques,0.05779746623416521,0.03115658788480474,0.0730238345976601,
relaxation,0.05779746623416521,0.03965383912611512,0.06149375545066114,
expressed,0.05775393047172139,0.016209805906881883,0.0628439680941262,0.016144421356207635
day,0.05775393047172139,0.0023156865581259833,0.16339431704472815,0.0053814737854025445
strategies,0.05552662056446663,,0.06646239410701678,
slept,0.05552662056446663,,0.009494627729573825,
peacefully,0.05533666084613203,,,
preferred,0.055128751813915876,0.10189020855754326,0.01571099202353155,0.059196211639427995
needed,0.05250357315611036,0.004631373116251967,0.05027517447530097,0.0053814737854025445
triggers,0.05156043338129044,,0.04272582478308221,
measures,0.04816455519513768,0.016994502482620764,0.03074687772533057,
managing,0.04527544978319894,,,
cultural,0.04174261450245265,0.028324170804367943,,0.003291157478590796
connection,0.039661871831761876,,0.014241941594360739,
breathing,0.039661871831761876,,0.0759570218365906,
sleep,0.03937767986708277,0.02084117902313385,0.07541276171295146,0.013453684463506362
concerns,0.03853164415611014,,0.019216798578331605,0.006582314957181592
social,0.036752501209277255,0.06715491018565352,0.009426595214118932,0.06726842231753181
exercises,0.036752501209277255,0.004631373116251967,0.03456418245176941,0.016144421356207635
spiritual,0.03569568464858569,,0.004747313864786913,
fluids,0.03569568464858569,0.06647337318391697,,
occasional,0.03569568464858569,,0.13767210207882047,
coping,0.035214238720265835,,,
anxiety,0.03412732255147173,0.011578432790629915,0.03456418245176941,0.01883515824890891
engage,0.031729497465409505,,,0.03252187395444451
daily,0.031729497465409505,,0.056967766377442955,
deep,0.031729497465409505,,0.03323119705350839,
appetite,0.031502143893666214,0.011578432790629915,0.0314219840470631,0.021525895141610178
outlook,0.03018363318879929,,,
frustration,0.028898733117082603,0.005664834160873588,,0.003291157478590796
listened,0.028876965235860697,0.004631373116251967,0.05027517447530097,0.010762947570805089
resident,0.028876965235860697,0.48629417720645646,0.16653651544943446,0.3390328484803603
food,0.027763310282233316,,,0.028456639710138946
hydrated,0.027763310282233316,,0.01898925545914765,
staying,0.027763310282233316,,0.01898925545914765,
music,0.02625178657805518,0.060207850511275564,0.025137587237650486,0.06457768542483054
bedtime,0.025153027657332745,,,
setting,0.025153027657332745,,,
compassionate,0.025153027657332745,,,
spending,0.02379712309905713,0.020991591531763252,,
participating,0.023626607920249662,0.009262746232503933,0.009426595214118932,0.016144421356207635
listening,0.023626607920249662,0.06715491018565352,0.0031421984047063107,0.06726842231753181
positive,0.023626607920249662,0.057892163953149584,0.0031421984047063107,0.04036105339051909
simple,0.023626607920249662,0.009262746232503933,0.021995388832944173,0.04574252717592163
loneliness,0.022476792424397585,0.008497251241310382,0.011530079146998964,
related,0.022476792424397585,0.005664834160873588,,0.003291157478590796
group,0.021001429262444145,0.05094510427877163,0.009426595214118932,0.051124000961324176
continued,0.021001429262444145,0.10652158167379523,0.0031421984047063107,0.18297010870368652
time,0.021001429262444145,0.06483922362752753,0.01571099202353155,0.013453684463506362
encouraging,0.020122422125866193,,,
moments,0.020122422125866193,,,
procedures,0.020122422125866193,,,
taste,0.019830935915880938,0.003498598588627209,,
changes,0.019830935915880938,,0.047473138647869124,
mild,0.019830935915880938,,0.01898925545914765,
cognitive,0.019830935915880938,,0.04272582478308221,
discomfort,0.01926582207805507,,0.007686719431332642,0.003291157478590796
home,0.01926582207805507,0.008497251241310382,0.003843359715666321,
meals,0.01926582207805507,,0.007686719431332642,0.006582314957181592
schedule,0.01605485173171256,,0.04227695687232953,0.003291157478590796
smaller,0.01605485173171256,,0.015373438862665284,0.019746944871544776
intake,0.01605485173171256,,0.03459023744099689,0.013164629914363185
nursing,0.01605485173171256,0.005664834160873588,0.003843359715666321,
laundry,0.01605485173171256,0.005664834160873588,,0.03291157478590796
folding,0.01605485173171256,0.008497251241310382,,0.03620273226449876
routines,0.01605485173171256,,0.02690351800966425,0.006582314957181592
others,0.015864748732704752,0.003498598588627209,,
engaging,0.015864748732704752,0.013994394354508836,,
oxygen,0.015864748732704752,,0.014241941594360739,
reassurance,0.015864748732704752,,0.047473138647869124,
appropriate,0.015864748732704752,,0.014241941594360739,
resources,0.015864748732704752,0.003498598588627209,,
energy,0.015864748732704752,,0.047473138647869124,
memory,0.015751071946833107,0.011578432790629915,0.0314219840470631,0.01883515824890891
interaction,0.015751071946833107,0.02084117902313385,0.006284396809412621,0.013453684463506362
familiar,0.015751071946833107,0.1088372682319212,0.0314219840470631,0.11839242327885599
hobbies,0.015751071946833107,0.013894119348755899,0.0031421984047063107,0.01883515824890891
calming,0.015751071946833107,0.06947059674377949,0.03456418245176941,0.06726842231753181
decreased,0.015751071946833107,0.016209805906881883,0.025137587237650486,0.02421663203431145
purpose,0.015751071946833107,0.0023156865581259833,0.012568793618825243,0.0053814737854025445
relaxing,0.015091816594399645,,,
retention,0.015091816594399645,,,
understanding,0.015091816594399645,,,
connections,0.015091816594399645,,,
compatible,0.015091816594399645,,,
stretch,0.015091816594399645,,,
longer,0.015091816594399645,,,
enjoys,0.015091816594399645,,,
adls,0.015091816594399645,,,
mechanisms,0.015091816594399645,,,
adjustments,0.015091816594399645,,,
slightly,0.01312589328902759,0.08799608920878736,0.006284396809412621,0.0484332640686229
residents,0.01312589328902759,0.009262746232503933,0.018853190428237864,0.008072210678103818
difficulty,0.01312589328902759,0.0023156865581259833,0.03770638085647573,0.008072210678103818
routine,0.01312589328902759,0.0023156865581259833,0.028279785642356794,0.013453684463506362
therapy,0.01312589328902759,0.018525492465007867,0.03456418245176941,0.008072210678103818
gardening,0.01312589328902759,0.0416823580462677,0.006284396809412621,0.008072210678103818
accomplishment,0.01312589328902759,0.009262746232503933,0.0031421984047063107,0.008072210678103818
limitations,0.01312589328902759,0.004631373116251967,0.009426595214118932,0.010762947570805089
frequent,0.012843881385370046,,0.007686719431332642,0.003291157478590796
